Capacity,BlockSize,Associativity,WriteThrough,WriteAllocate,MissRate,TotalTime
32768,1,1,0,0,0.321425,2571811
32768,1,1,0,1,0.297045,3504291
32768,1,1,1,0,0.321425,2471291
32768,1,1,1,1,0.297045,2606211
32768,2,1,0,0,0.321425,2571811
32768,2,1,0,1,0.297045,3504311
32768,2,1,1,0,0.321425,2471291
32768,2,1,1,1,0.297045,2606211
32768,4,1,0,0,0.321425,2571811
32768,4,1,0,1,0.297045,3504311
32768,4,1,1,0,0.321425,2471291
32768,4,1,1,1,0.297045,2606211
32768,8,1,0,0,0.321425,2571811
32768,8,1,0,1,0.297045,3504311
32768,8,1,1,0,0.321425,2471291
32768,8,1,1,1,0.297045,2606211
32768,16,1,0,0,0.281814,2454011
32768,16,1,0,1,0.257112,3361251
32768,16,1,1,0,0.281814,2343291
32768,16,1,1,1,0.257112,2437531
32768,32,1,0,0,0.282033,2494511
32768,32,1,0,1,0.256897,3406031
32768,32,1,1,0,0.282033,2366711
32768,32,1,1,1,0.256897,2442851
32768,64,1,0,0,0.232302,2294211
32768,64,1,0,1,0.206706,3214231
32768,64,1,1,0,0.232302,2151831
32768,64,1,1,1,0.206706,2211151
32768,128,1,0,0,0.206499,2181231
32768,128,1,0,1,0.179931,3107771
32768,128,1,1,0,0.206499,2035991
32768,128,1,1,1,0.179931,2087171
32768,256,1,0,0,0.19245,2099071
32768,256,1,0,1,0.159416,3027091
32768,256,1,1,0,0.19245,1964551
32768,256,1,1,1,0.159416,1992031
32768,1,2,0,0,0.308261,2487511
32768,1,2,0,1,0.276311,3417851
32768,1,2,1,0,0.308261,2406471
32768,1,2,1,1,0.276311,2517071
32768,2,2,0,0,0.308261,2487511
32768,2,2,0,1,0.276311,3417851
32768,2,2,1,0,0.308261,2406471
32768,2,2,1,1,0.276311,2517071
32768,4,2,0,0,0.308261,2487511
32768,4,2,0,1,0.276311,3417851
32768,4,2,1,0,0.308261,2406471
32768,4,2,1,1,0.276311,2517071
32768,8,2,0,0,0.308261,2487511
32768,8,2,0,1,0.276311,3417851
32768,8,2,1,0,0.308261,2406471
32768,8,2,1,1,0.276311,2517071
32768,16,2,0,0,0.261995,2345651
32768,16,2,0,1,0.237474,3263131
32768,16,2,1,0,0.261995,2259571
32768,16,2,1,1,0.237474,2346691
32768,32,2,0,0,0.266531,2423411
32768,32,2,0,1,0.243381,3345231
32768,32,2,1,0,0.266531,2307991
32768,32,2,1,1,0.243381,2379691
32768,64,2,0,0,0.222457,2256971
32768,64,2,0,1,0.200236,3188731
32768,64,2,1,0,0.222457,2123431
32768,64,2,1,1,0.200236,2180871
32768,128,2,0,0,0.197454,2149191
32768,128,2,0,1,0.175585,3093251
32768,128,2,1,0,0.197454,2014091
32768,128,2,1,1,0.175585,2066971
32768,256,2,0,0,0.180486,2057331
32768,256,2,0,1,0.152736,3003471
32768,256,2,1,0,0.180486,1932891
32768,256,2,1,1,0.152736,1960971
32768,1,4,0,0,0.297398,2436631
32768,1,4,0,1,0.26445,3372691
32768,1,4,1,0,0.297398,2367531
32768,1,4,1,1,0.26445,2461771
32768,2,4,0,0,0.297398,2436631
32768,2,4,0,1,0.26445,3372691
32768,2,4,1,0,0.297398,2367531
32768,2,4,1,1,0.26445,2461771
32768,4,4,0,0,0.297398,2436631
32768,4,4,0,1,0.26445,3372691
32768,4,4,1,0,0.297398,2367531
32768,4,4,1,1,0.26445,2461771
32768,8,4,0,0,0.297398,2436631
32768,8,4,0,1,0.26445,3372691
32768,8,4,1,0,0.297398,2367531
32768,8,4,1,1,0.26445,2461771
32768,16,4,0,0,0.247465,2278611
32768,16,4,0,1,0.225432,3209291
32768,16,4,1,0,0.247465,2208571
32768,16,4,1,1,0.225432,2290191
32768,32,4,0,0,0.257099,2383971
32768,32,4,0,1,0.237848,3318271
32768,32,4,1,0,0.257099,2280671
32768,32,4,1,1,0.237848,2354151
32768,64,4,0,0,0.218799,2246671
32768,64,4,0,1,0.199496,3188691
32768,64,4,1,0,0.218799,2120351
32768,64,4,1,1,0.199496,2177551
32768,128,4,0,0,0.193615,2135071
32768,128,4,0,1,0.173981,3086891
32768,128,4,1,0,0.193615,2006511
32768,128,4,1,1,0.173981,2059471
32768,256,4,0,0,0.176075,2038871
32768,256,4,0,1,0.150191,2991251
32768,256,4,1,0,0.176075,1920911
32768,256,4,1,1,0.150191,1949051
32768,1,8,0,0,0.289801,2399631
32768,1,8,0,1,0.256837,3336431
32768,1,8,1,0,0.289801,2336811
32768,1,8,1,1,0.256837,2426771
32768,2,8,0,0,0.289801,2399631
32768,2,8,0,1,0.256837,3336431
32768,2,8,1,0,0.289801,2336811
32768,2,8,1,1,0.256837,2426771
32768,4,8,0,0,0.289801,2399631
32768,4,8,0,1,0.256837,3336431
32768,4,8,1,0,0.289801,2336811
32768,4,8,1,1,0.256837,2426771
32768,8,8,0,0,0.289801,2399631
32768,8,8,0,1,0.256837,3336431
32768,8,8,1,0,0.289801,2336811
32768,8,8,1,1,0.256837,2426771
32768,16,8,0,0,0.236132,2223991
32768,16,8,0,1,0.216499,3165531
